=== Game Log Started at 2026-09-06 08:26:23 ===
[2026-09-06 08:26:23.062] [INFO] [App] Application started
[2026-09-06 08:26:23.063] [INFO] [App] MainPage initialized
[2026-09-06 08:26:23.063] [INFO] [App] Monster encounters DISABLED for debugging
[2026-09-06 08:26:23.063] [INFO] [Test] Logging system test started
[2026-09-06 08:26:23.064] [StairTransition] Level change via stairs | { fromLevel = 0, toLevel = 1, fromTile = { X = 32, Y = 32 }, toTile = { X = 32, Y = 32 }, stairType = 2 }
[2026-09-06 08:26:23.065] [MovementBlock] Player movement blocked | { position = { X = 128, Y = 128 }, direction = north, reason = Tile not walkable }
[2026-09-06 08:26:23.065] [WallClearing] Walls cleared around tile | { tileX = 32, tileY = 32, level = 1, wallsCleared = 4 }
[2026-09-06 08:26:23.066] [PlayerMovement] Test move | { From = { X = 32, Y = 32 }, To = { X = 33, Y = 32 } }
[2026-09-06 08:26:23.066] [WARNING] [Test] This is a warning message
[2026-09-06 08:26:23.066] [ERROR] [Test] This is an error message
[2026-09-06 08:26:23.066] [INFO] [Test] Logging system test completed
[2026-09-06 08:27:09.284] [INFO] [PlayerState] Player stats updated | { name = Mr. Sinister, stamina = 255, strength = 255, intelligence = 255 }
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.803Z] [MOVE] Movement successful: (0.00, -14.10)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.820Z] [MOVE] Movement successful: (0.00, -14.40)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.836Z] [MOVE] Movement successful: (0.00, -14.70)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.853Z] [MOVE] Movement successful: (0.00, -15.00)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.870Z] [MOVE] Movement successful: (0.00, -15.30)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.886Z] [MOVE] Movement successful: (0.00, -15.60)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.903Z] [MOVE] Movement successful: (0.00, -15.90)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.919Z] [MOVE] Movement successful: (0.00, -16.20)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.936Z] [MOVE] Movement successful: (0.00, -16.50)
[2026-09-06 08:27:11.979] [PlayerMovement] Movement | [2026-09-06T15:27:11.953Z] [MOVE] Movement successful: (0.00, -16.80)
[2026-09-06 08:27:11.980] [PlayerMovement] Movement | [2026-09-06T15:27:11.969Z] [MOVE] Movement successful: (0.00, -17.10)
[2026-09-06 08:27:12.479] [PlayerMovement] Movement | [2026-09-06T15:27:11.986Z] [MOVE] Movement successful: (0.00, -17.40)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.003Z] [MOVE] Movement successful: (0.00, -17.70)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.136Z] [MOVE] Movement successful: (0.00, -18.00)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.153Z] [MOVE] Movement successful: (0.00, -18.30)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.170Z] [MOVE] Movement successful: (0.00, -18.60)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.186Z] [MOVE] Movement successful: (0.00, -18.90)
[2026-09-06 08:27:12.480] [PlayerMovement] Movement | [2026-09-06T15:27:12.203Z] [MOVE] Movement successful: (0.00, -19.20)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.220Z] [MOVE] Movement successful: (0.00, -19.50)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.236Z] [MOVE] Movement successful: (0.00, -19.80)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.253Z] [MOVE] Movement successful: (0.00, -20.10)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.270Z] [MOVE] Movement successful: (0.00, -20.40)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.287Z] [MOVE] Movement successful: (0.00, -20.70)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.303Z] [MOVE] Movement successful: (0.00, -21.00)
[2026-09-06 08:27:12.481] [PlayerMovement] Movement | [2026-09-06T15:27:12.320Z] [MOVE] Movement successful: (0.00, -21.30)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.337Z] [MOVE] Movement successful: (0.00, -21.60)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.353Z] [MOVE] Movement successful: (0.00, -21.90)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.370Z] [MOVE] Movement successful: (0.00, -22.20)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.387Z] [MOVE] Movement successful: (0.00, -22.50)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.403Z] [MOVE] Movement successful: (0.00, -22.80)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.420Z] [MOVE] Movement successful: (0.00, -23.10)
[2026-09-06 08:27:12.482] [PlayerMovement] Movement | [2026-09-06T15:27:12.436Z] [MOVE] Movement successful: (0.00, -23.40)
[2026-09-06 08:27:12.483] [PlayerMovement] Movement | [2026-09-06T15:27:12.453Z] [MOVE] Movement successful: (0.00, -23.70)
[2026-09-06 08:27:12.483] [PlayerMovement] Movement | [2026-09-06T15:27:12.470Z] [MOVE] Movement successful: (0.00, -24.00)
[2026-09-06 08:27:12.976] [PlayerMovement] Movement | [2026-09-06T15:27:12.486Z] [MOVE] Movement successful: (0.00, -24.30)
[2026-09-06 08:27:12.977] [PlayerMovement] Movement | [2026-09-06T15:27:12.503Z] [MOVE] Movement successful: (0.00, -24.60)
[2026-09-06 08:27:12.977] [PlayerMovement] Movement | [2026-09-06T15:27:12.520Z] [MOVE] Movement successful: (0.00, -24.90)
[2026-09-06 08:27:12.977] [PlayerMovement] Movement | [2026-09-06T15:27:12.536Z] [MOVE] Movement successful: (0.00, -25.20)
[2026-09-06 08:27:12.977] [PlayerMovement] Movement | [2026-09-06T15:27:12.553Z] [MOVE] Movement successful: (0.00, -25.50)
[2026-09-06 08:27:12.977] [PlayerMovement] Movement | [2026-09-06T15:27:12.570Z] [MOVE] Movement successful: (0.00, -25.80)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.587Z] [MOVE] Movement successful: (0.00, -26.10)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.603Z] [MOVE] Movement successful: (0.00, -26.40)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.620Z] [MOVE] Movement successful: (0.00, -26.70)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.637Z] [MOVE] Movement successful: (0.00, -27.00)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.653Z] [MOVE] Movement successful: (0.00, -27.30)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.670Z] [MOVE] Movement successful: (0.00, -27.60)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.686Z] [MOVE] Movement successful: (0.00, -27.90)
[2026-09-06 08:27:12.978] [PlayerMovement] Movement | [2026-09-06T15:27:12.703Z] [MOVE] Movement successful: (0.00, -28.20)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.720Z] [MOVE] Movement successful: (0.00, -28.50)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.736Z] [MOVE] Movement successful: (0.00, -28.80)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.753Z] [MOVE] Movement successful: (0.00, -29.10)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.770Z] [MOVE] Movement successful: (0.00, -29.40)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.786Z] [MOVE] Movement successful: (0.00, -29.70)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.803Z] [MOVE] Movement successful: (0.00, -30.00)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.820Z] [MOVE] Movement successful: (0.00, -30.30)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.836Z] [MOVE] Movement successful: (0.00, -30.60)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.853Z] [MOVE] Movement successful: (0.00, -30.90)
[2026-09-06 08:27:12.979] [PlayerMovement] Movement | [2026-09-06T15:27:12.870Z] [MOVE] Movement successful: (0.00, -31.20)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.887Z] [MOVE] Movement successful: (0.00, -31.50)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.903Z] [MOVE] Movement successful: (0.00, -31.80)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.920Z] [MOVE] Movement successful: (0.00, -32.10)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.936Z] [MOVE] Movement successful: (0.00, -32.40)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.953Z] [MOVE] Movement successful: (0.00, -32.70)
[2026-09-06 08:27:12.980] [PlayerMovement] Movement | [2026-09-06T15:27:12.970Z] [MOVE] Movement successful: (0.00, -33.00)
[2026-09-06 08:27:13.471] [PlayerMovement] Movement | [2026-09-06T15:27:12.986Z] [MOVE] Movement successful: (0.00, -33.30)
[2026-09-06 08:27:13.471] [PlayerMovement] Movement | [2026-09-06T15:27:13.003Z] [MOVE] Movement successful: (0.00, -33.60)
[2026-09-06 08:27:13.471] [PlayerMovement] Movement | [2026-09-06T15:27:13.019Z] [MOVE] Movement successful: (0.00, -33.90)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.036Z] [MOVE] Movement successful: (0.00, -34.20)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.053Z] [MOVE] Movement successful: (0.00, -34.50)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.070Z] [MOVE] Movement successful: (0.00, -34.80)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.086Z] [MOVE] Movement successful: (0.00, -35.10)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.103Z] [MOVE] Movement successful: (0.00, -35.40)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.120Z] [MOVE] Movement successful: (0.00, -35.70)
[2026-09-06 08:27:13.472] [PlayerMovement] Movement | [2026-09-06T15:27:13.137Z] [MOVE] Movement successful: (0.00, -36.00)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.153Z] [MOVE] Movement successful: (0.00, -36.30)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.170Z] [MOVE] Movement successful: (0.00, -36.60)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.186Z] [MOVE] Movement successful: (0.00, -36.90)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.203Z] [MOVE] Movement successful: (0.00, -37.20)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.220Z] [MOVE] Movement successful: (0.00, -37.50)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.236Z] [MOVE] Movement successful: (0.00, -37.80)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.253Z] [MOVE] Movement successful: (0.00, -38.10)
[2026-09-06 08:27:13.473] [PlayerMovement] Movement | [2026-09-06T15:27:13.270Z] [MOVE] Movement successful: (0.00, -38.40)
[2026-09-06 08:27:13.474] [PlayerMovement] Movement | [2026-09-06T15:27:13.286Z] [MOVE] Movement successful: (0.00, -38.70)
[2026-09-06 08:27:13.474] [PlayerMovement] Movement | [2026-09-06T15:27:13.303Z] [MOVE] Movement successful: (0.00, -39.00)
[2026-09-06 08:27:13.474] [PlayerMovement] Movement | [2026-09-06T15:27:13.320Z] [MOVE] Movement successful: (0.00, -39.30)
[2026-09-06 08:27:13.970] [PlayerMovement] Movement | [2026-09-06T15:27:13.853Z] [MOVE] Movement successful: (-0.30, -40.00)
[2026-09-06 08:27:13.970] [PlayerMovement] Movement | [2026-09-06T15:27:13.870Z] [MOVE] Movement successful: (-0.60, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.886Z] [MOVE] Movement successful: (-0.90, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.903Z] [MOVE] Movement successful: (-1.20, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.920Z] [MOVE] Movement successful: (-1.50, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.936Z] [MOVE] Movement successful: (-1.80, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.953Z] [MOVE] Movement successful: (-2.10, -40.00)
[2026-09-06 08:27:13.971] [PlayerMovement] Movement | [2026-09-06T15:27:13.970Z] [MOVE] Movement successful: (-2.40, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:13.986Z] [MOVE] Movement successful: (-2.70, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:14.003Z] [MOVE] Movement successful: (-3.00, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:14.020Z] [MOVE] Movement successful: (-3.30, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:14.037Z] [MOVE] Movement successful: (-3.60, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:14.053Z] [MOVE] Movement successful: (-3.90, -40.00)
[2026-09-06 08:27:14.469] [PlayerMovement] Movement | [2026-09-06T15:27:14.070Z] [MOVE] Movement successful: (-4.20, -40.00)
[2026-09-06 08:27:14.470] [PlayerMovement] Movement | [2026-09-06T15:27:14.086Z] [MOVE] Movement successful: (-4.50, -40.00)
[2026-09-06 08:27:15.474] [PlayerMovement] Movement | [2026-09-06T15:27:15.020Z] [MOVE] Movement successful: (-4.00, -40.30)
[2026-09-06 08:27:15.474] [PlayerMovement] Movement | [2026-09-06T15:27:15.036Z] [MOVE] Movement successful: (-4.00, -40.60)
[2026-09-06 08:27:15.474] [PlayerMovement] Movement | [2026-09-06T15:27:15.053Z] [MOVE] Movement successful: (-4.00, -40.90)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.069Z] [MOVE] Movement successful: (-4.00, -41.20)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.086Z] [MOVE] Movement successful: (-4.00, -41.50)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.103Z] [MOVE] Movement successful: (-4.00, -41.80)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.120Z] [MOVE] Movement successful: (-4.00, -42.10)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.137Z] [MOVE] Movement successful: (-4.00, -42.40)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.153Z] [MOVE] Movement successful: (-4.00, -42.70)
[2026-09-06 08:27:15.475] [PlayerMovement] Movement | [2026-09-06T15:27:15.170Z] [MOVE] Movement successful: (-4.00, -43.00)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.187Z] [MOVE] Movement successful: (-4.00, -43.30)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.203Z] [MOVE] Movement successful: (-4.00, -43.60)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.220Z] [MOVE] Movement successful: (-4.00, -43.90)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.236Z] [MOVE] Movement successful: (-4.00, -44.20)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.253Z] [MOVE] Movement successful: (-4.00, -44.50)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.270Z] [MOVE] Movement successful: (-4.00, -44.80)
[2026-09-06 08:27:15.476] [PlayerMovement] Movement | [2026-09-06T15:27:15.286Z] [MOVE] Movement successful: (-4.00, -45.10)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.303Z] [MOVE] Movement successful: (-4.00, -45.40)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.319Z] [MOVE] Movement successful: (-4.00, -45.70)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.336Z] [MOVE] Movement successful: (-4.00, -46.00)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.353Z] [MOVE] Movement successful: (-4.00, -46.30)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.370Z] [MOVE] Movement successful: (-4.00, -46.60)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.386Z] [MOVE] Movement successful: (-4.00, -46.90)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.403Z] [MOVE] Movement successful: (-4.00, -47.20)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.420Z] [MOVE] Movement successful: (-4.00, -47.50)
[2026-09-06 08:27:15.477] [PlayerMovement] Movement | [2026-09-06T15:27:15.437Z] [MOVE] Movement successful: (-4.00, -47.80)
[2026-09-06 08:27:15.478] [PlayerMovement] Movement | [2026-09-06T15:27:15.453Z] [MOVE] Movement successful: (-4.00, -48.10)
